site,core,substrate,activity.nM.hr
8,1,LEU,3.944964322
8,1,LEU,3.869439826
8,1,LEU,3.733806386
10,1,LEU,3.583713751
10,1,LEU,3.491887147
10,1,LEU,3.478760953
14,1,LEU,4.401067122
14,1,LEU,4.324541837
14,1,LEU,4.391834624
19,1,LEU,5.125347047
19,1,LEU,5.053994604
19,1,LEU,4.909584064
8,2,LEU,3.435312579
8,2,LEU,3.445569628
8,2,LEU,3.472288453
10,2,LEU,2.591358
10,2,LEU,2.39749
10,2,LEU,2.118149
14,2,LEU,4.871475852
14,2,LEU,4.88701895
14,2,LEU,4.962032898
19,2,LEU,4.258085171
19,2,LEU,4.211113756
19,2,LEU,4.251529786
8,3,LEU,2.833992003
8,3,LEU,2.700462818
8,3,LEU,2.707940023
10,3,LEU,3.035819383
10,3,LEU,2.900931138
10,3,LEU,3.099124161
14,3,LEU,3.364880127
14,3,LEU,3.325214171
14,3,LEU,3.382572275
19,3,LEU,6.13325239
19,3,LEU,5.864778471
19,3,LEU,5.868863657
8,1,ZPHE,0.047176791
8,1,ZPHE,0.015114724
8,1,ZPHE,0.10561033
10,1,ZPHE,0.082062725
10,1,ZPHE,0.046121466
10,1,ZPHE,0.025600465
14,1,ZPHE,0.088665675
14,1,ZPHE,0.045728878
14,1,ZPHE,0.004248299
19,1,ZPHE,0.01436449
19,1,ZPHE,0.019390975
19,1,ZPHE,0.006836119
8,2,ZPHE,0.081983103
8,2,ZPHE,0.065190481
8,2,ZPHE,0.064799146
10,2,ZPHE,0.082062725
10,2,ZPHE,0.046121466
10,2,ZPHE,0.025600465
14,2,ZPHE,0.04364045
14,2,ZPHE,0.070315667
14,2,ZPHE,0.031991804
19,2,ZPHE,0.080665776
19,2,ZPHE,0.103221488
19,2,ZPHE,0.082570591
8,3,ZPHE,0.014228396
8,3,ZPHE,0.039458534
8,3,ZPHE,0.060499875
10,3,ZPHE,0.064466474
10,3,ZPHE,0.041465669
10,3,ZPHE,0.064743759
14,3,ZPHE,0.104687034
14,3,ZPHE,0.062113249
14,3,ZPHE,0.025951307
19,3,ZPHE,0.074092603
19,3,ZPHE,0.051394312
19,3,ZPHE,0.052897648
8,1,DPHE,0.035760757
8,1,DPHE,0.065546907
8,1,DPHE,0.030745806
10,1,DPHE,0.065314257
10,1,DPHE,0.043254599
10,1,DPHE,0.071526171
14,1,DPHE,0.064962262
14,1,DPHE,0.073372894
14,1,DPHE,0.108770849
19,1,DPHE,0.087559622
19,1,DPHE,0.059086431
19,1,DPHE,0.116027311
8,2,DPHE,0.079549724
8,2,DPHE,0.11780514
8,2,DPHE,0.148944628
10,2,DPHE,0.065314257
10,2,DPHE,0.043254599
10,2,DPHE,0.071526171
14,2,DPHE,0.111100642
14,2,DPHE,0.12217635
14,2,DPHE,0.095095193
19,2,DPHE,0.100758771
19,2,DPHE,0.107249219
19,2,DPHE,0.112123022
8,3,DPHE,0.026427495
8,3,DPHE,0.032108124
8,3,DPHE,0.033069662
10,3,DPHE,0.070612139
10,3,DPHE,0.045261599
10,3,DPHE,0.036745096
14,3,DPHE,0.126411906
14,3,DPHE,0.103757229
14,3,DPHE,0.204601399
19,3,DPHE,0.095029012
19,3,DPHE,0.037229872
19,3,DPHE,0.022381492
8,1,PH,1.001826362
8,1,PH,1.039320667
8,1,PH,0.996067226
10,1,PH,0.786146819
10,1,PH,0.652166165
10,1,PH,0.690147365
14,1,PH,2.014428786
14,1,PH,1.788070677
14,1,PH,2.00709104
19,1,PH,1.489924003
19,1,PH,1.455931414
19,1,PH,1.414656762
8,2,PH,0.724019933
8,2,PH,0.750334442
8,2,PH,0.705872726
10,2,PH,0.786146819
10,2,PH,0.652166165
10,2,PH,0.690147365
14,2,PH,1.594281376
14,2,PH,1.622768912
14,2,PH,1.772395523
19,2,PH,1.645199817
19,2,PH,1.246027977
19,2,PH,1.314156145
8,3,PH,0.638799065
8,3,PH,0.625593367
8,3,PH,0.635431462
10,3,PH,0.580681714
10,3,PH,0.518883374
10,3,PH,0.552501015
14,3,PH,1.374455047
14,3,PH,1.271397741
14,3,PH,1.517302343
19,3,PH,0.961932911
19,3,PH,0.899133072
19,3,PH,0.880741271
8,1,aD,0.001549743
8,1,aD,0.002022207
8,1,aD,0.002717845
10,1,aD,0.002641281
10,1,aD,0.001331388
10,1,aD,0.003269634
14,1,aD,0.014844766
14,1,aD,0.006157808
14,1,aD,0.007970583
19,1,aD,0.010665751
19,1,aD,0.012375464
19,1,aD,0.009655268
8,2,aD,0.001230289
8,2,aD,0.009629632
8,2,aD,0.000711679
10,2,aD,0.002641281
10,2,aD,0.001331388
10,2,aD,0.003269634
